date,plug_in_hybrid_electric,battery_electric_vehicle,electric_vehicle_total,Calculated EV Total,Correct Total
2017-01-31,7687,14738,22425,22425,True
2017-02-28,7888,15206,23094,23094,True
2017-03-31,8092,15596,23688,23688,True
2017-04-30,8286,16104,24390,24390,True
2017-05-31,8497,16569,25066,25066,True
2017-06-30,8751,16986,25737,25737,True
2017-07-31,8931,17379,26310,26310,True
2017-08-31,9147,17678,26825,26825,True
2017-09-30,9374,18078,27452,27452,True
2017-10-31,9649,18524,28173,28173,True
2017-11-30,9888,18877,28765,28765,True
2017-12-31,10120,19185,29305,29305,True
2018-01-31,10534,19733,30267,30267,True
2018-02-28,10833,19976,30809,30809,True
2018-03-31,11180,20393,31573,31573,True
2018-04-30,11514,20924,32438,32438,True
2018-05-31,11933,21701,33634,33634,True
2018-06-30,12356,22434,34790,34790,True
2018-07-31,12649,22984,35633,35633,True
2018-08-31,12963,23577,36540,36540,True
2018-09-30,13292,24162,37454,37454,True
2018-10-31,13640,25518,39158,39158,True
2018-11-30,14020,26780,40800,40800,True
2018-12-31,14343,27721,42064,42064,True
2019-01-31,14726,29110,43836,43836,True
2019-02-28,14891,29687,44578,44578,True
2019-03-31,15039,30028,45067,45067,True
2019-04-30,15294,31049,46343,46343,True
2019-05-31,15559,31745,47304,47304,True
2019-06-30,15808,32576,48384,48384,True
2019-07-31,16071,33558,49629,49629,True
2019-08-31,16275,34307,50582,50582,True
2019-09-30,16507,35074,51581,51581,True
2019-10-31,16788,36649,53437,53437,True
2019-11-30,16960,37101,54061,54061,True
2019-12-31,17130,37754,54884,54884,True
2020-01-31,17353,39785,57138,57138,True
2020-02-29,17465,40267,57732,57732,True
2020-03-31,17607,41000,58607,58607,True
2020-04-30,17566,41345,58911,58911,True
2020-05-31,17579,41337,58916,58916,True
2020-06-30,17679,41599,59278,59278,True
2020-07-31,17815,42999,60814,60814,True
2020-08-31,17962,43597,61559,61559,True
2020-09-30,18173,44166,62339,62339,True
2020-10-31,18427,45183,63610,63610,True
2020-11-30,18601,46541,65142,65142,True
2020-12-31,18891,47339,66230,66230,True
2021-01-31,19223,48907,68130,68130,True
2021-02-28,19511,49775,69286,69286,True
2021-03-31,19867,50600,70467,70467,True
2021-04-30,20324,52466,72790,72790,True
2021-05-31,20726,53711,74437,74437,True
2021-06-30,21314,54831,76145,76145,True
2021-07-31,21718,56880,78598,78598,True
2021-08-31,22133,58404,80537,80537,True
2021-09-30,22460,59603,82063,82063,True
2021-10-31,22872,61327,84199,84199,True
2021-11-30,23281,62963,86244,86244,True
2021-12-31,23561,64465,88026,88026,True
2022-01-31,23897,66056,89953,89953,True
2022-02-28,24201,67653,91854,91854,True
2022-03-31,24655,69250,93905,93905,True
2022-04-30,25013,71651,96664,96664,True
2022-05-31,25481,73038,98519,98519,True
2022-06-30,25994,74721,100715,100715,True
2022-07-31,26298,77175,103473,103473,True
2022-08-31,26752,79487,106239,106239,True
2022-09-30,27093,80958,108051,108051,True
2022-10-31,27444,84233,111677,111677,True
2022-11-30,27793,87542,115335,115335,True
2022-12-31,28214,89907,118121,118121,True
2023-01-31,28744,93192,121936,121936,True
2023-02-28,29288,95649,124937,124937,True
2023-03-31,29951,98191,128142,128142,True
2023-04-30,30883,101551,132434,132434,True
2023-05-31,31651,105040,136691,136691,True
2023-06-30,32497,108557,141054,141054,True
2023-07-31,33081,112115,145196,145196,True
2023-08-31,33864,117403,151267,151267,True
2023-09-30,34434,119396,153830,153830,True
