Location,County,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0400000US53,Washington,US_WA,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,1548612,1556920,1561367,1567388,1577138,1589742,1607368,1617024,,1651045
0400000US53,Washington,US_WA,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,436556,438486,440256,445292,446109,,440264
0400000US53,Washington,US_WA,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,1130832,1138652,1149486,1162076,1170915,,1210781
0400000US53,Washington,US_WA,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,1538902,1547207,1551206,1557552,1567442,1579454,1597797,1608012,,1643307
0400000US53,Washington,US_WA,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,4240068,4277377,4314936,4355181,4389804,4438788,4500928,4552104,,4668568
0400000US53,Washington,US_WA,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,1602873,1618222,1641725,1678347,1704972,,1740460
0400000US53,Washington,US_WA,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,2752308,2771582,2797063,2822581,2847132,,2928108
0400000US53,Washington,US_WA,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,1352209,1405673,1451401,1505709,1560152,,1641570
0400000US53,Washington,US_WA,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,817702,851875,888897,928124,972680,1008883,1053412,1097682,,1159144
0500000US53001,Adams County,US_WA001,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,6345,6477,6566,6656,6648,6710,6784,6848,6919,7208
0500000US53001,Adams County,US_WA001,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,2050,2024,1955,1945,1911,1862,1867
0500000US53001,Adams County,US_WA001,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,4606,4624,4755,4839,4937,5057,5341
0500000US53001,Adams County,US_WA001,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,6320,6455,6549,6646,6638,6709,6743,6803,6880,7159
0500000US53001,Adams County,US_WA001,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,10190,10276,10324,10364,10340,10386,10446,10503,10508,10786
0500000US53001,Adams County,US_WA001,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,4301,4274,4337,4370,4464,4505,4607
0500000US53001,Adams County,US_WA001,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,6063,6066,6049,6076,6039,6003,6179
0500000US53001,Adams County,US_WA001,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,2572,2649,2737,2853,2920,3003,3155
0500000US53001,Adams County,US_WA001,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,1769,1767,1786,1781,1828,1906,1952,1981,2040,2145
