Location,County,Location - RegionId,Indicator,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0400000US53,Washington,US_WA,S1701_C01_011,Male,3281292,3322058,3364322,3409322,3451476,3502836,3567184,3621184,,3748571
0400000US53,Washington,US_WA,S1701_C01_012,Female,3325090,3364114,3400878,3441371,3488146,3534577,3594524,3645626,,3730186
0500000US53001,Adams County,US_WA001,S1701_C01_011,Male,9315,9431,9520,9576,9587,9642,9713,9849,9964,10301
0500000US53001,Adams County,US_WA001,S1701_C01_012,Female,8989,9089,9156,9225,9229,9360,9469,9483,9503,9838
0500000US53003,Asotin County,US_WA003,S1701_C01_011,Male,10300,10287,10347,10417,10479,10444,10574,10742,10901,10911
0500000US53003,Asotin County,US_WA003,S1701_C01_012,Female,10977,11186,11265,11314,11311,11500,11441,11401,11505,11137
0500000US53005,Benton County,US_WA005,S1701_C01_011,Male,86480,88452,90083,91208,92911,94437,96095,97677,99233,101640
0500000US53005,Benton County,US_WA005,S1701_C01_012,Female,86774,88358,89890,91750,92773,94303,96249,97957,99498,100847
0500000US53035,Kitsap County,US_WA035,S1701_C01_011,Male,121884,122411,123049,124066,125334,126333,128445,129368,130766,133748
0500000US53035,Kitsap County,US_WA035,S1701_C01_012,Female,122393,122802,122920,123475,124772,125181,126558,127904,129084,130728
0500000US53033,King County,US_WA033,S1701_C01_011,Male,953670,970575,987560,1006521,1023753,1044610,1067858,1085707,1101894,1116597
0500000US53033,King County,US_WA033,S1701_C01_012,Female,958388,974846,992226,1009998,1026575,1044972,1065926,1079855,1092739,1093901
0500000US53031,Jefferson County,US_WA031,S1701_C01_011,Male,14133,13983,14055,14101,14144,14263,14673,14607,14913,15412
0500000US53031,Jefferson County,US_WA031,S1701_C01_012,Female,14916,14993,14957,15106,15305,15411,15351,15837,16101,16466
0500000US53029,Island County,US_WA029,S1701_C01_011,Male,37784,37712,37809,37971,38354,38349,39204,39462,39972,40592
0500000US53029,Island County,US_WA029,S1701_C01_012,Female,39217,39214,39159,39130,39482,39471,40120,40755,41505,42449
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_011,Male,34451,34253,34034,34001,33801,33951,34151,34432,34626,35179
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_012,Female,34724,34616,34500,34275,34219,34395,34701,35155,35526,35895
0500000US53025,Grant County,US_WA025,S1701_C01_011,Male,44672,45187,45928,46042,46188,46701,47701,48042,48555,49503
0500000US53025,Grant County,US_WA025,S1701_C01_012,Female,43043,43897,44523,44886,45361,45768,46253,46500,47259,47495
0500000US53023,Garfield County,US_WA023,S1701_C01_011,Male,1063,1124,1092,1101,1096,1114,1099,1135,1153,1159
0500000US53023,Garfield County,US_WA023,S1701_C01_012,Female,1135,1081,1109,1099,1110,1089,1102,1071,1081,1094
0500000US53021,Franklin County,US_WA021,S1701_C01_011,Male,39632,41002,42248,42936,43625,44293,44871,45370,45831,46839
0500000US53021,Franklin County,US_WA021,S1701_C01_012,Female,37433,38983,40198,41113,41813,42468,43259,44100,44997,45625
0500000US53019,Ferry County,US_WA019,S1701_C01_011,Male,3868,3881,3915,3903,3790,3838,3803,3758,3802,3631
0500000US53019,Ferry County,US_WA019,S1701_C01_012,Female,3612,3631,3628,3638,3737,3623,3663,3725,3764,3493
0500000US53017,Douglas County,US_WA017,S1701_C01_011,Male,19059,19264,19504,19736,19991,20293,20738,21063,21377,21675
0500000US53017,Douglas County,US_WA017,S1701_C01_012,Female,19008,19268,19419,19636,19857,20093,20422,20799,20906,20748
0500000US53015,Cowlitz County,US_WA015,S1701_C01_011,Male,49788,49825,49857,49729,49802,50198,51083,52078,53045,53813
0500000US53015,Cowlitz County,US_WA015,S1701_C01_012,Female,50873,50957,50785,51111,51297,51652,52487,53162,53690,54191
0500000US53013,Columbia County,US_WA013,S1701_C01_011,Male,1997,2006,1978,1943,1888,1905,1889,1893,1949,1916
0500000US53013,Columbia County,US_WA013,S1701_C01_012,Female,1933,1942,1975,1971,2004,2036,2057,2051,2032,2014
0500000US53011,Clark County,US_WA011,S1701_C01_011,Male,208617,211030,214325,217440,220355,223676,227500,231128,235129,243721
0500000US53011,Clark County,US_WA011,S1701_C01_012,Female,214254,217192,219769,222964,226623,229765,233499,237531,241936,248021
0500000US53009,Clallam County,US_WA009,S1701_C01_011,Male,34178,34488,34780,35209,35297,35604,36109,36400,37064,37498
0500000US53009,Clallam County,US_WA009,S1701_C01_012,Female,35708,35796,35789,35949,36381,36492,37122,37740,38402,38268
0500000US53007,Chelan County,US_WA007,S1701_C01_011,Male,35318,35828,36197,36465,36628,36796,37244,37650,38004,39019
0500000US53007,Chelan County,US_WA007,S1701_C01_012,Female,36164,36365,36687,36924,37214,37301,37469,37423,37605,38622
0500000US53037,Kittitas County,US_WA037,S1701_C01_011,Male,19494,19720,19925,20024,20167,20840,21413,21858,22221,20981
0500000US53037,Kittitas County,US_WA037,S1701_C01_012,Female,19148,19143,19362,19717,20088,20363,20900,21463,22179,20610
0500000US53039,Klickitat County,US_WA039,S1701_C01_011,Male,10191,10129,10191,10203,10410,10493,10690,10887,11131,11432
