"date","plug_in_hybrid_electric","battery_electric_vehicle","electric_vehicle_total"
"2017-01-31T00:00:00.000","7687","14738","22425"
"2017-02-28T00:00:00.000","7888","15206","23094"
"2017-03-31T00:00:00.000","8092","15596","23688"
"2017-04-30T00:00:00.000","8286","16104","24390"
"2017-05-31T00:00:00.000","8497","16569","25066"
"2017-06-30T00:00:00.000","8751","16986","25737"
"2017-07-31T00:00:00.000","8931","17379","26310"
"2017-08-31T00:00:00.000","9147","17678","26825"
"2017-09-30T00:00:00.000","9374","18078","27452"
"2017-10-31T00:00:00.000","9649","18524","28173"
"2017-11-30T00:00:00.000","9888","18877","28765"
"2017-12-31T00:00:00.000","10120","19185","29305"
"2018-01-31T00:00:00.000","10534","19733","30267"
"2018-02-28T00:00:00.000","10833","19976","30809"
"2018-03-31T00:00:00.000","11180","20393","31573"
"2018-04-30T00:00:00.000","11514","20924","32438"
"2018-05-31T00:00:00.000","11933","21701","33634"
"2018-06-30T00:00:00.000","12356","22434","34790"
"2018-07-31T00:00:00.000","12649","22984","35633"
"2018-08-31T00:00:00.000","12963","23577","36540"
"2018-09-30T00:00:00.000","13292","24162","37454"
"2018-10-31T00:00:00.000","13640","25518","39158"
"2018-11-30T00:00:00.000","14020","26780","40800"
"2018-12-31T00:00:00.000","14343","27721","42064"
"2019-01-31T00:00:00.000","14726","29110","43836"
"2019-02-28T00:00:00.000","14891","29687","44578"
"2019-03-31T00:00:00.000","15039","30028","45067"
"2019-04-30T00:00:00.000","15294","31049","46343"
"2019-05-31T00:00:00.000","15559","31745","47304"
"2019-06-30T00:00:00.000","15808","32576","48384"
"2019-07-31T00:00:00.000","16071","33558","49629"
"2019-08-31T00:00:00.000","16275","34307","50582"
"2019-09-30T00:00:00.000","16507","35074","51581"
"2019-10-31T00:00:00.000","16788","36649","53437"
"2019-11-30T00:00:00.000","16960","37101","54061"
"2019-12-31T00:00:00.000","17130","37754","54884"
"2020-01-31T00:00:00.000","17353","39785","57138"
"2020-02-29T00:00:00.000","17465","40267","57732"
"2020-03-31T00:00:00.000","17607","41000","58607"
"2020-04-30T00:00:00.000","17566","41345","58911"
"2020-05-31T00:00:00.000","17579","41337","58916"
"2020-06-30T00:00:00.000","17679","41599","59278"
"2020-07-31T00:00:00.000","17815","42999","60814"
"2020-08-31T00:00:00.000","17962","43597","61559"
"2020-09-30T00:00:00.000","18173","44166","62339"
"2020-10-31T00:00:00.000","18427","45183","63610"
"2020-11-30T00:00:00.000","18601","46541","65142"
"2020-12-31T00:00:00.000","18891","47339","66230"
"2021-01-31T00:00:00.000","19223","48907","68130"
"2021-02-28T00:00:00.000","19511","49775","69286"
"2021-03-31T00:00:00.000","19867","50600","70467"
"2021-04-30T00:00:00.000","20324","52466","72790"
"2021-05-31T00:00:00.000","20726","53711","74437"
"2021-06-30T00:00:00.000","21314","54831","76145"
"2021-07-31T00:00:00.000","21718","56880","78598"
"2021-08-31T00:00:00.000","22133","58404","80537"
"2021-09-30T00:00:00.000","22460","59603","82063"
"2021-10-31T00:00:00.000","22872","61327","84199"
"2021-11-30T00:00:00.000","23281","62963","86244"
"2021-12-31T00:00:00.000","23561","64465","88026"
"2022-01-31T00:00:00.000","23897","66056","89953"
"2022-02-28T00:00:00.000","24201","67653","91854"
"2022-03-31T00:00:00.000","24655","69250","93905"
"2022-04-30T00:00:00.000","25013","71651","96664"
"2022-05-31T00:00:00.000","25481","73038","98519"
"2022-06-30T00:00:00.000","25994","74721","100715"
"2022-07-31T00:00:00.000","26298","77175","103473"
"2022-08-31T00:00:00.000","26752","79487","106239"
"2022-09-30T00:00:00.000","27093","80958","108051"
"2022-10-31T00:00:00.000","27444","84233","111677"
"2022-11-30T00:00:00.000","27793","87542","115335"
"2022-12-31T00:00:00.000","28214","89907","118121"
"2023-01-31T00:00:00.000","28744","93192","121936"
"2023-02-28T00:00:00.000","29288","95649","124937"
"2023-03-31T00:00:00.000","29951","98191","128142"
"2023-04-30T00:00:00.000","30883","101551","132434"
"2023-05-31T00:00:00.000","31651","105040","136691"
"2023-06-30T00:00:00.000","32497","108557","141054"
"2023-07-31T00:00:00.000","33081","112115","145196"
"2023-08-31T00:00:00.000","33864","117403","151267"
"2023-09-30T00:00:00.000","34434","119396","153830"
