Location Name,Date,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles
Adams,April 30 2017,2,3,5,17199,17204
Adams,April 30 2018,5,4,9,17671,17680
Adams,April 30 2019,5,6,11,17759,17770
Adams,April 30 2020,7,7,14,17960,17974
Adams,April 30 2021,11,9,20,18458,18478
Adams,April 30 2022,16,10,26,18462,18488
Adams,April 30 2023,26,12,38,18361,18399
Adams,August 31 2017,3,3,6,17278,17284
Adams,August 31 2018,5,5,10,17855,17865
Adams,August 31 2019,5,5,10,17979,17989
Adams,August 31 2020,9,7,16,18169,18185
Adams,August 31 2021,16,14,30,18452,18482
Adams,August 31 2022,22,9,31,18399,18430
Adams,August 31 2023,28,12,40,18057,18097
Adams,December 31 2017,4,5,9,17533,17542
Adams,December 31 2018,5,6,11,17891,17902
Adams,December 31 2019,6,7,13,18132,18145
Adams,December 31 2020,10,7,17,18296,18313
Adams,December 31 2021,17,14,31,18499,18530
Adams,December 31 2022,24,11,35,18413,18448
Adams,February 28 2017,2,2,4,17196,17200
Adams,February 28 2018,5,4,9,17594,17603
Adams,February 28 2019,4,6,10,17778,17788
Adams,February 28 2021,10,6,16,18318,18334
Adams,February 28 2022,17,14,31,18476,18507
Adams,February 28 2023,23,11,34,18397,18431
Adams,February 29 2020,7,7,14,18132,18146
Adams,January 31 2017,1,1,2,17251,17253
Adams,January 31 2018,4,4,8,17588,17596
Adams,January 31 2019,5,6,11,17882,17893
Adams,January 31 2020,7,7,14,18122,18136
Adams,January 31 2021,10,6,16,18317,18333
Adams,January 31 2022,17,14,31,18472,18503
Adams,January 31 2023,23,11,34,18405,18439
Adams,July 31 2017,3,3,6,17305,17311
Adams,July 31 2018,5,5,10,17800,17810
Adams,July 31 2019,5,6,11,17965,17976
Adams,July 31 2020,9,7,16,18147,18163
Adams,July 31 2021,16,12,28,18428,18456
Adams,July 31 2022,20,10,30,18393,18423
Adams,July 31 2023,27,12,39,18212,18251
